id,url,title,duration,timestamp,tabs,thumbnail,source_name,usage_rights,reuse_policy
x7dCBxYOJH8,https://www.youtube.com/watch?v=x7dCBxYOJH8,Pagué 1 millon de pesos por un BMW que no sirve! | Fraudeame La Nave #142,4040.0,,videos,https://i.ytimg.com/vi/x7dCBxYOJH8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDoInWjfVyu7jGzqP9CH0SN73gmVQ,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
SgmJg7RoOpg,https://www.youtube.com/watch?v=SgmJg7RoOpg,El cliente no siempre tiene la razón | El Blog de la tranza automotriz,606.0,,videos,https://i.ytimg.com/vi/SgmJg7RoOpg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBgV47Yg1deDSDSP7vZQK5s5r6qQQ,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
72PrmPCRuz0,https://www.youtube.com/watch?v=72PrmPCRuz0,Problema sin solucion. El REPUVE es un peligro para los mexicanos! | El Blog de la tranza automotriz,779.0,,videos,https://i.ytimg.com/vi/72PrmPCRuz0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDeyJ8O2p0q5USCFwKWgmQQ0huzXA,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
LS_4i5DdKAE,https://www.youtube.com/watch?v=LS_4i5DdKAE,Audi A5 SLine Fwd 2025 | PruebameLa... Nave 243,1937.0,,videos,https://i.ytimg.com/vi/LS_4i5DdKAE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAFAZEYNLLMmyXBCyrHUCxeQcYy-g,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
pxpBcHI3Xvc,https://www.youtube.com/watch?v=pxpBcHI3Xvc,"269. Nissan Pathfinder, Nissan Kait, OLINIA, Deporte motor",10719.0,,videos,https://i.ytimg.com/vi/pxpBcHI3Xvc/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGABwAcABBvABAfgBtgiAArgIigIMCAAQARhyIEMoMjAP&rs=AOn4CLAVCG2CPpGcLKSZQzx9803MDwoMEg,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
iFvBNO5vuk0,https://www.youtube.com/watch?v=iFvBNO5vuk0,El coche sin problemas con problemas causados por REPUVE.,298.0,,videos,https://i.ytimg.com/vi/iFvBNO5vuk0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDZxHtk6YxLs83P-12yM4-UJyuboQ,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
VQPstTwYHxY,https://www.youtube.com/watch?v=VQPstTwYHxY,RECUPERAR tu auto robado podría meterte en PROBLEMAS | El Blog de la tranza automotriz,555.0,,videos,https://i.ytimg.com/vi/VQPstTwYHxY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCVlnwW4ZesajKL7yHy1jiVRYoNRg,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
67MdG0NXU9w,https://www.youtube.com/watch?v=67MdG0NXU9w,"267. ¿El FIN de las Expos de Autos?, INA PAACE Automechanika Mexico",3085.0,,videos,https://i.ytimg.com/vi/67MdG0NXU9w/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGABwAcABBvABAfgBtgiAArgIigIMCAAQARhyIEMoMjAP&rs=AOn4CLB6DkZ8Gfls9UkYpzuQHwxcSFBEVw,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
ZBmzxHQTQZo,https://www.youtube.com/watch?v=ZBmzxHQTQZo,Mi auto NUEVO se calienta por defecto de fábrica. | Fraudeame la nave #141,5782.0,,videos,https://i.ytimg.com/vi/ZBmzxHQTQZo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAdjYjh9vFk2350i247tZdmW84kGA,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
4PUqETeb90A,https://www.youtube.com/watch?v=4PUqETeb90A,"268. MG3 Híbrido, autos japoneses vs chinos, Geely Emgrand",9152.0,,videos,https://i.ytimg.com/vi/4PUqETeb90A/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGABwAcABBvABAfgBtgiAArgIigIMCAAQARhBIFsocjAP&rs=AOn4CLBSV3Y6t06qfu59ABAnDRCe-6Tw7A,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
BxkhVAqkLxI,https://www.youtube.com/watch?v=BxkhVAqkLxI,"¿El FIN de las Expos de Autos?, INA PAACE Automechanika Mexico El podcast de autor #267",3085.0,,videos,https://i.ytimg.com/vi/BxkhVAqkLxI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCjFgvSwgu_8S9wDBEewoq1nWnKLg,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
QJrpJwEn8jQ,https://www.youtube.com/watch?v=QJrpJwEn8jQ,"266. Infiniti QX60, Audi A5,  Lexus RX350h, Formula 1",11547.0,,videos,https://i.ytimg.com/vi/QJrpJwEn8jQ/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGABwAcABBvABAfgBtgiAArgIigIMCAAQARhBIFsocjAP&rs=AOn4CLBDIJiWU-_TqlWpUgIoEZt1rtaUeQ,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
Riswt1_jwZo,https://www.youtube.com/watch?v=Riswt1_jwZo,"El caso imposible, no para Mexico. | El Blog de la tranza automotriz",914.0,,videos,https://i.ytimg.com/vi/Riswt1_jwZo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBHGrSTgZI7L1A_AZiJmTtLfNLCQA,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
W-YgadRr8ds,https://www.youtube.com/watch?v=W-YgadRr8ds,"¿Un Audi con volante de ""arrozone""? 🧐 Analizamos el nuevo Audi A5 2025 | Reseña rapida.",341.0,,videos,https://i.ytimg.com/vi/W-YgadRr8ds/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDHyacWZUTmPDALwIxZ0cPAc7VtIw,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
g_Fz5i_Ano4,https://www.youtube.com/watch?v=g_Fz5i_Ano4,"Defecto de origen, negativa de fábrica PARTE 2 | Fraudeame la Nave #131",1152.0,,videos,https://i.ytimg.com/vi/g_Fz5i_Ano4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDVsUPGzegNY73Nrkfq9qu6Wcq9mQ,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
t8V8t3wc5qo,https://www.youtube.com/watch?v=t8V8t3wc5qo,La FRASE que detuvo a los policías: No pudieron multarme,125.0,,videos,https://i.ytimg.com/vi/t8V8t3wc5qo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCM7ghnr7McIl0L_K1juay0JjkR0g,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
uohpghYvW9Y,https://www.youtube.com/watch?v=uohpghYvW9Y,"265. Lexus RX500h, Nissan NX8, El mago presume su licencia china",9849.0,,videos,https://i.ytimg.com/vi/uohpghYvW9Y/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGABwAcABBvABAfgBtgiAArgIigIMCAAQARhBIFsocjAP&rs=AOn4CLDE2aoayCV5mrEHgqObfIT8zzg9dw,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
3kt9NOKOg78,https://www.youtube.com/watch?v=3kt9NOKOg78,3 Facturas del sat 1 VIN remarcado 1 motor sin reporte de robo. | El Blog de la tranza automotriz.,840.0,,videos,https://i.ytimg.com/vi/3kt9NOKOg78/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBu0w7dwhkku0m3za38SxeRiVEsxg,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
fSQvQcGboUc,https://www.youtube.com/watch?v=fSQvQcGboUc,NO compres un MARCH sin ver antes este video,381.0,,videos,https://i.ytimg.com/vi/fSQvQcGboUc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAEz1aa_MGRw2ry8maQlRC_YOx2Sg,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
_GZ-txs4bWo,https://www.youtube.com/watch?v=_GZ-txs4bWo,"264. Lexus UX300h, Lexus RX350, Alfa Romeo Junior, Geely",11166.0,,videos,https://i.ytimg.com/vi/_GZ-txs4bWo/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGABwAcABBvABAfgBtgiAArgIigIMCAAQARhBIFsocjAP&rs=AOn4CLCjeijv97qUOQ1PvA_AcXA-9FvsTw,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
TL9leKJ9mt4,https://www.youtube.com/watch?v=TL9leKJ9mt4,"Por culpa de Carfax y Repuve pierde su libertad, su camión y mas de 40 mil pesos.",277.0,,videos,https://i.ytimg.com/vi/TL9leKJ9mt4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDpdt2Zu_bdYpxQB_OXEhERx3Aw9g,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
