id,url,title,duration,timestamp,tabs,thumbnail,source_name,usage_rights,reuse_policy
lUNUgroMhMI,https://www.youtube.com/watch?v=lUNUgroMhMI,New York Auto Show 2026: Mejores momentos | Jaime Gabaldoni,842.0,,videos,https://i.ytimg.com/vi/lUNUgroMhMI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB8_HYAiCkcRDS_wjpbszJ22YUM2w,Jaime Gabaldoni,external-reference,embed_link_and_summarize_only
trzXvvLSh6I,https://www.youtube.com/watch?v=trzXvvLSh6I,😱 The Future of the Channel… Thank You for Making This Channel Possible 🔥 | Jaime Gabaldoni,59.0,,videos,https://i.ytimg.com/vi/trzXvvLSh6I/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAI1ksaagpUvUasBrbJMztCz1j-aA,Jaime Gabaldoni,external-reference,embed_link_and_summarize_only
6qLRvIZOKPY,https://www.youtube.com/watch?v=6qLRvIZOKPY,Mitsubishi Outlander 2026: ¿La SUV familiar más subestimada? | Test drive | Jaime Gabaldoni,1165.0,,videos,https://i.ytimg.com/vi/6qLRvIZOKPY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCg6wFG-bqFxjj7TzSOuZ1OJYkPUA,Jaime Gabaldoni,external-reference,embed_link_and_summarize_only
EtJsaat4ldU,https://www.youtube.com/watch?v=EtJsaat4ldU,¡Consigue acceso a contenido exclusivo y material inédito! 🔥 | Jaime Gabaldoni,50.0,,videos,https://i.ytimg.com/vi/EtJsaat4ldU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCk3GxIBRYKtJAVEA_NQWlxAgin_g,Jaime Gabaldoni,external-reference,embed_link_and_summarize_only
LID4C_krWfY,https://www.youtube.com/watch?v=LID4C_krWfY,Subaru Outback Wilderness 2026: ADN Rally 🔥 | Test drive | Jaime Gabaldoni,1295.0,,videos,https://i.ytimg.com/vi/LID4C_krWfY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD_Zi7nqws8blpMzM2N3-FY3OoldQ,Jaime Gabaldoni,external-reference,embed_link_and_summarize_only
8YWDHF-ywPE,https://www.youtube.com/watch?v=8YWDHF-ywPE,Lexus LC500 Convertible Inspiration Series 2026: Lujo y fuerza | Prueba de manejo | Jaime Gabaldoni,1579.0,,videos,https://i.ytimg.com/vi/8YWDHF-ywPE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDZ8D6rk7DqY_gqwneSJUhDiFZfiw,Jaime Gabaldoni,external-reference,embed_link_and_summarize_only
yhYrSTAGzkk,https://www.youtube.com/watch?v=yhYrSTAGzkk,Toyota GR Supra 2026 Final Edition: ¿El adiós de una leyenda? | Prueba de manejo | Jaime Gabaldoni,1403.0,,videos,https://i.ytimg.com/vi/yhYrSTAGzkk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDH2A8cPH3u20-YqURr2hASS5H39g,Jaime Gabaldoni,external-reference,embed_link_and_summarize_only
mBE9MOnr0bQ,https://www.youtube.com/watch?v=mBE9MOnr0bQ,"Mazda CX-90 Turbo S 2026: SUV de 3 filas potente, premium y divertida | Test drive | Jaime Gabaldoni",1239.0,,videos,https://i.ytimg.com/vi/mBE9MOnr0bQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDemtLxn3jaeDD43V8zULUMIuPkbw,Jaime Gabaldoni,external-reference,embed_link_and_summarize_only
Pfd3_boVrOg,https://www.youtube.com/watch?v=Pfd3_boVrOg,2026 Volkswagen Golf R: The best hot hatch with AWD and 328 HP! | Test drive | Jaime Gabaldoni,1405.0,,videos,https://i.ytimg.com/vi/Pfd3_boVrOg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC-2grn2W0lHtxuAofIPdrynnng1g,Jaime Gabaldoni,external-reference,embed_link_and_summarize_only
PXAUOd8s2qQ,https://www.youtube.com/watch?v=PXAUOd8s2qQ,Aston Martin Vantage S Roadster 2026: ¿El convertible perfecto? | Prueba de manejo | Jaime Gabaldoni,1603.0,,videos,https://i.ytimg.com/vi/PXAUOd8s2qQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDqEBStXjj8_mT0dRhQ87dCElg-DA,Jaime Gabaldoni,external-reference,embed_link_and_summarize_only
