id,url,title,duration,timestamp,tabs,thumbnail,source_name,usage_rights,reuse_policy
mIBPVRyNB8c,https://www.youtube.com/watch?v=mIBPVRyNB8c,Kia K4 HB Turbo | Porqué los hatchback son mejores que los sedanes,641.0,,videos,https://i.ytimg.com/vi/mIBPVRyNB8c/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDjJuyMg3dYQyZeydOtpxN_m9xrRA,Sergio Oliveira,external-reference,embed_link_and_summarize_only
-HTgIYuKJi0,https://www.youtube.com/watch?v=-HTgIYuKJi0,¿Me lo compro o no me lo compro? | Con Lalo Vargas | Toyota,3013.0,,videos,https://i.ytimg.com/vi/-HTgIYuKJi0/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhlIGEoVDAP&rs=AOn4CLDFyf9vrD9qFtXvHNsb41YgGOs9OA,Sergio Oliveira,external-reference,embed_link_and_summarize_only
hefHM43uK6A,https://www.youtube.com/watch?v=hefHM43uK6A,Ford celebra 60 años de Escuelas Ford | Entrevista con Julieta Meléndez,857.0,,videos,https://i.ytimg.com/vi/hefHM43uK6A/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC38p3S3ESgnPX97Rsh_VjKEJLRsw,Sergio Oliveira,external-reference,embed_link_and_summarize_only
K1XX6ydG0qc,https://www.youtube.com/watch?v=K1XX6ydG0qc,Hyundai Tucson HEV | Un gran manejo y buenos consumos,404.0,,videos,https://i.ytimg.com/vi/K1XX6ydG0qc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBtm51lSubvctX3E0kkdSyA4eP5yw,Sergio Oliveira,external-reference,embed_link_and_summarize_only
dbn2arEIKt4,https://www.youtube.com/watch?v=dbn2arEIKt4,Mitsubishi Outlander | Por aquí hubieran empezado,667.0,,videos,https://i.ytimg.com/vi/dbn2arEIKt4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBJ9mfQ2OWuinC-VVspSE-LSns6BQ,Sergio Oliveira,external-reference,embed_link_and_summarize_only
ijG2ANHGOng,https://www.youtube.com/watch?v=ijG2ANHGOng,Renault Boreal 2026 | Primer contacto,687.0,,videos,https://i.ytimg.com/vi/ijG2ANHGOng/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDUy_BDi6h8fMDXFWnbLhWUA_l4uA,Sergio Oliveira,external-reference,embed_link_and_summarize_only
pRKCkf5RfNU,https://www.youtube.com/watch?v=pRKCkf5RfNU,¿Cuáles son las pickups más vendidas en México? | LaCochera Radio 25 ABR,1938.0,,videos,https://i.ytimg.com/vi/pRKCkf5RfNU/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhlIGUoZTAP&rs=AOn4CLAOwi9K0OzMu47pcN_S8ltbXQdwVw,Sergio Oliveira,external-reference,embed_link_and_summarize_only
JxLKQTQPmzY,https://www.youtube.com/watch?v=JxLKQTQPmzY,Nissan Sentra 2026 | Cambió más de lo que parece,722.0,,videos,https://i.ytimg.com/vi/JxLKQTQPmzY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBjNzmuv3HJTcE99eupFJ4KMyREMA,Sergio Oliveira,external-reference,embed_link_and_summarize_only
tNmIMIrsBKE,https://www.youtube.com/watch?v=tNmIMIrsBKE,Territory Híbrida | ¿Los mejores Ford son chinos?,1127.0,,videos,https://i.ytimg.com/vi/tNmIMIrsBKE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCBSDHh1xPUBetSUD4UkewIsgWLeQ,Sergio Oliveira,external-reference,embed_link_and_summarize_only
vJpC-r90QM8,https://www.youtube.com/watch?v=vJpC-r90QM8,Volkswagen Golf GTI 2026 | Aún es referencia,899.0,,videos,https://i.ytimg.com/vi/vJpC-r90QM8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAsDFHVwbWuGjeJg_ymeBhsinl1lw,Sergio Oliveira,external-reference,embed_link_and_summarize_only
V70inqIiVKQ,https://www.youtube.com/watch?v=V70inqIiVKQ,Ram 1500 RHO | Al menos probó la cima,825.0,,videos,https://i.ytimg.com/vi/V70inqIiVKQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAy-CQRW2YoYZTaJ28lwi0GziNYKg,Sergio Oliveira,external-reference,embed_link_and_summarize_only
RJuaMqk0J_M,https://www.youtube.com/watch?v=RJuaMqk0J_M,"¿Me lo compro o no me lo compro? | Con Lalo Vargas | Peugeot, Ram y Renault",3554.0,,videos,https://i.ytimg.com/vi/RJuaMqk0J_M/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhlIEMoXjAP&rs=AOn4CLBHQ1gw4cUhmMnGkX-Ng27FzZBKDQ,Sergio Oliveira,external-reference,embed_link_and_summarize_only
ECxZtklw7EU,https://www.youtube.com/watch?v=ECxZtklw7EU,"GWM Haval H6 PHEV | Mejor sin la ""P""",413.0,,videos,https://i.ytimg.com/vi/ECxZtklw7EU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBqgQAcc-KRYWv5aLRca0bzAGxu3w,Sergio Oliveira,external-reference,embed_link_and_summarize_only
8bxlu-ZoRfw,https://www.youtube.com/watch?v=8bxlu-ZoRfw,GAC Aion UT | Porqué puedes ser tu propio jefe,509.0,,videos,https://i.ytimg.com/vi/8bxlu-ZoRfw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAa9CsAi_9yBAO-8qPy0T3TtnoCbA,Sergio Oliveira,external-reference,embed_link_and_summarize_only
lTGtNxYhLwc,https://www.youtube.com/watch?v=lTGtNxYhLwc,¿Me lo compro o no me lo compro? | Con Lalo Vargas | Mazda,3761.0,,videos,https://i.ytimg.com/vi/lTGtNxYhLwc/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhQIFsoZTAP&rs=AOn4CLBCzcJ6k8FqWvCgOP5lK43hZRPGaA,Sergio Oliveira,external-reference,embed_link_and_summarize_only
a9e9kpAR2ww,https://www.youtube.com/watch?v=a9e9kpAR2ww,VW Golf GTI no me enamoró | LaCochera RADIO 28Feb,2158.0,,videos,https://i.ytimg.com/vi/a9e9kpAR2ww/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDnZWc8VDOplHGg0I1c8MS0ejljOg,Sergio Oliveira,external-reference,embed_link_and_summarize_only
GfS8DuT8SLw,https://www.youtube.com/watch?v=GfS8DuT8SLw,Nissan Kicks 2026 - Aprendiendo a convivir con ella,753.0,,videos,https://i.ytimg.com/vi/GfS8DuT8SLw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAqe7y98XrOmD9Mfs5A72pbWGWZgQ,Sergio Oliveira,external-reference,embed_link_and_summarize_only
iUdh8kGBFfk,https://www.youtube.com/watch?v=iUdh8kGBFfk,CHINA se pelea la planta de COMPAS en Aguascalientes - LaCochera Radio 21FEB,1721.0,,videos,https://i.ytimg.com/vi/iUdh8kGBFfk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBjiA2TgipJzpThbLaKiGpeBXPy8A,Sergio Oliveira,external-reference,embed_link_and_summarize_only
YfO4Hz89jy8,https://www.youtube.com/watch?v=YfO4Hz89jy8,"Jeep Wrangler Rubicon 392 | No lo necesitas, pero lo quieres",1201.0,,videos,https://i.ytimg.com/vi/YfO4Hz89jy8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBEKMP-32WJnB7gy5itI56l2gJQYg,Sergio Oliveira,external-reference,embed_link_and_summarize_only
