id,slug,title_seo,source_url,upload_date,duration,transcript_available,transcript_chars,enrichment_provider
-eSA_bgaHjA,atencion-off-road-y-tech-lovers-montx-rompe-todo-en-el-auto-china-2026--eSA_bgaHjA,Atención off-road y tech lovers! 🔥 MONTX ROMPE TODO en el Auto China 2026!,https://www.youtube.com/watch?v=-eSA_bgaHjA,20260513,309,True,4178,local
FpXwO0V3CxM,noticias-motor-abril-2026,Noticias Motor Abril 2026: Innovaciones y Alianzas en la Industria Automotriz,https://www.youtube.com/watch?v=FpXwO0V3CxM,20260415,420,True,7522,gpt-4o-mini
i849ev1wuhs,no-compras-seat-subaru-suzuki,"No compres SEAT, Subaru o Suzuki sin ver esto - Análisis de Tixuz Autos",https://www.youtube.com/watch?v=i849ev1wuhs,20260414,2538,True,30101,gpt-4o-mini
WtKWwh3ffiY,noticiero-automotriz-feb-2026-WtKWwh3ffiY,Noticiero Automotriz  Feb 2026,https://www.youtube.com/watch?v=WtKWwh3ffiY,20260226,253,True,4486,local
bneJw3WuvXU,me-lo-compro-o-no-mini-mitsubishi-y-nissan-con-sergio-oliveira-tixuz-autos-bneJw3WuvXU,"¿Me lo compro o NO? Mini, Mitsubishi y Nissan con Sergio Oliveira | Tixuz Autos",https://www.youtube.com/watch?v=bneJw3WuvXU,20260225,3350,True,44823,local
4SqINL97dhM,electrico-hibrido-o-gasolina-la-gran-crisis-de-identidad-del-motor-4SqINL97dhM,"¿Eléctrico, Híbrido o Gasolina? La Gran Crisis de Identidad del Motor 🚗⚡️",https://www.youtube.com/watch?v=4SqINL97dhM,20260215,401,True,7424,local
u-QIh-nnUYg,me-lo-compro-o-no-me-lo-compro-mercedes-benz-u-QIh-nnUYg,Me lo compro o no me lo compro: Mercedes-Benz,https://www.youtube.com/watch?v=u-QIh-nnUYg,20260204,1941,True,23686,local
t18L1VU4jxs,me-lo-compro-o-no-kia-land-rover-y-lexus-t18L1VU4jxs,"¿ME LO COMPRO O NO? Kia, Land Rover y Lexus",https://www.youtube.com/watch?v=t18L1VU4jxs,20260119,3434,True,41633,local
u4Hj3qKhhw0,me-lo-compro-no-me-lo-compro-hyundai-u4Hj3qKhhw0,me lo compro no me lo compro hyundai,https://www.youtube.com/watch?v=u4Hj3qKhhw0,20260110,1803,True,23448,local
rxZx1JRVhsA,tixuz-tech-rxZx1JRVhsA,tixuz tech,https://www.youtube.com/watch?v=rxZx1JRVhsA,20251231,218,True,2827,local
GGhqHR8rfz4,la-gran-depuracion-autos-chinos-aranceles-y-la-verdad-que-nadie-dice-una-platica-sin-censu-GGhqHR8rfz4,"""La Gran Depuración: Autos Chinos, Aranceles y la Verdad que Nadie Dice"" Una plática sin censura.",https://www.youtube.com/watch?v=GGhqHR8rfz4,20251219,1325,False,0,local
-ie-mTjGZjI,la-herramienta-que-hubiera-querido-tener-hace-anos-para-comparar-coches--ie-mTjGZjI,"""La herramienta que hubiera querido tener hace años para comparar coches""",https://www.youtube.com/watch?v=-ie-mTjGZjI,20251211,559,False,0,local
WbyhjkwsZgo,los-5-autos-mas-vendidos-en-mexico-este-ano-por-que-WbyhjkwsZgo,Los 5 autos mas vendidos en méxico este año por que?,https://www.youtube.com/watch?v=WbyhjkwsZgo,20251105,972,False,0,local
0EGCKnwycKQ,alerta-subida-inminente-de-precios-de-autos-por-escasez-de-chips-s-oliveira-y-e-vargas-0EGCKnwycKQ,¡Alerta! Subida INMINENTE de Precios de Autos por Escasez de Chips | S. Oliveira y E. Vargas,https://www.youtube.com/watch?v=0EGCKnwycKQ,20251025,1672,False,0,local
G6sUoRt2wwg,cae-el-mas-incredulo-de-tixuz-G6sUoRt2wwg,Cae el mas incredulo  de tixuz,https://www.youtube.com/watch?v=G6sUoRt2wwg,20251014,585,False,0,local
kx-36T_1uGM,como-estan-las-marcas-economicamente-kx-36T_1uGM,COMO ESTAN LAS MARCAS ECONOMICAMENTE.,https://www.youtube.com/watch?v=kx-36T_1uGM,20250927,1280,False,0,local
pdMZqhjiZcw,me-lo-compro-o-no-con-sergio-oliveira-hablamos-de-dodge-y-cupra-pdMZqhjiZcw,¿Me lo compro o no? | Con Sergio Oliveira hablamos de Dodge y Cupra 🚗🔥,https://www.youtube.com/watch?v=pdMZqhjiZcw,20250923,1870,False,0,local
pUIRcTcEK3I,la-confianza-se-mide-en-litros-y-aqui-son-completos-pUIRcTcEK3I,La confianza se mide en litros.... y aquí son completos.,https://www.youtube.com/watch?v=pUIRcTcEK3I,20250916,77,False,0,local
cNTOMfKZRjw,gasolina-en-mexico-litros-de-a-litro-o-estafa-cNTOMfKZRjw,"""Gasolina en México: ¿Litros de a Litro o Estafa?",https://www.youtube.com/watch?v=cNTOMfKZRjw,20250904,1454,False,0,local
F-A1N41Axag,spark-ev-vs-byd-dolphin-la-batalla-de-los-electricos-urbanos-que-debes-conocer-F-A1N41Axag,Spark EV vs BYD Dolphin: la batalla de los eléctricos urbanos que debes conocer,https://www.youtube.com/watch?v=F-A1N41Axag,20250806,205,False,0,local
