priority,topic,publication_score,video_id,title,url,transcript_available,transcript_chars
high,Ford,86,j9IPzpuHSp8,"FORD #2021 ¿me lo compro, o no me lo compro?",https://www.youtube.com/watch?v=j9IPzpuHSp8,False,0
high,Ford,86,cAQZZKiK8GY,Las JMC telitoly... o como dicen Jodida Mi Camioneta 😂 ford nacidos chinos,https://www.youtube.com/watch?v=cAQZZKiK8GY,False,0
high,Ford,86,V79lGPB82zc,Yougi y Los Ford Cougar,https://www.youtube.com/watch?v=V79lGPB82zc,False,0
high,Nissan,76,IUrYfUtUZmA,"Me lo compro o no me lo compro nissan ,seat subaru,suzuki",https://www.youtube.com/watch?v=IUrYfUtUZmA,False,0
high,Nissan,76,k2C37jU9e_s,Nissan Sentra desde piso de ventas l Tixuz,https://www.youtube.com/watch?v=k2C37jU9e_s,False,0
high,Nissan,76,3ulgUZJYsaY,"me lo compro o no me lo compro mini,mitsubishi,nissan,omoda.",https://www.youtube.com/watch?v=3ulgUZJYsaY,False,0
high,Hyundai,75,1uuA-AocDkA,"Hyundai #2021 ¿Me lo compro, o no me lo compro?",https://www.youtube.com/watch?v=1uuA-AocDkA,False,0
high,Dodge,68,BMa0m5JtNss,DODGE #2021 ¿Me lo Compro o No me lo Compro? Dodge,https://www.youtube.com/watch?v=BMa0m5JtNss,False,0
high,Dodge,68,pdMZqhjiZcw,¿Me lo compro o no? | Con Sergio Oliveira hablamos de Dodge y Cupra 🚗🔥,https://www.youtube.com/watch?v=pdMZqhjiZcw,False,0
high,Mercedes,68,2tr5BIOGzQg,"""¿Me lo compro o no? 🚗 Mazda, McLaren, Mercedes y MG con Sergio Oliveira y Lalo""",https://www.youtube.com/watch?v=2tr5BIOGzQg,False,0
high,Subaru,66,IUrYfUtUZmA,"Me lo compro o no me lo compro nissan ,seat subaru,suzuki",https://www.youtube.com/watch?v=IUrYfUtUZmA,False,0
high,Honda,64,KGqm8vs4o5E,"HONDA #2021 ¿Me lo compro, o NO me lo compro?",https://www.youtube.com/watch?v=KGqm8vs4o5E,False,0
high,Chevrolet,62,Wdm4K-4XpgU,chevrolet parte 2 me lo compro o no me lo compro,https://www.youtube.com/watch?v=Wdm4K-4XpgU,False,0
high,BMW,61,gY5SbnEIqoM,BMW PARTE 2 me lo compro o no me lo compro?,https://www.youtube.com/watch?v=gY5SbnEIqoM,False,0
normal,Mazda,57,2tr5BIOGzQg,"""¿Me lo compro o no? 🚗 Mazda, McLaren, Mercedes y MG con Sergio Oliveira y Lalo""",https://www.youtube.com/watch?v=2tr5BIOGzQg,False,0
normal,Ram,56,-ie-mTjGZjI,"""La herramienta que hubiera querido tener hace años para comparar coches""",https://www.youtube.com/watch?v=-ie-mTjGZjI,False,0
normal,Ram,56,IjPTKQVMvaE,@Jaime_Gabaldoni nos habla de su trayectoria en los autos | Instagram Live,https://www.youtube.com/watch?v=IjPTKQVMvaE,False,0
normal,Mitsubishi,54,3ulgUZJYsaY,"me lo compro o no me lo compro mini,mitsubishi,nissan,omoda.",https://www.youtube.com/watch?v=3ulgUZJYsaY,False,0
normal,Suzuki,53,IUrYfUtUZmA,"Me lo compro o no me lo compro nissan ,seat subaru,suzuki",https://www.youtube.com/watch?v=IUrYfUtUZmA,False,0
normal,GMC,52,6jD4N_6URPY,"GMC #2021 ¿me lo compro, o no me lo compro?",https://www.youtube.com/watch?v=6jD4N_6URPY,False,0
normal,Tesla,51,PGkryogQP30,TESLA,https://www.youtube.com/watch?v=PGkryogQP30,False,0
normal,Tesla,51,iG1lOwAJ1Gs,los fantasmas llegaron a tesla?,https://www.youtube.com/watch?v=iG1lOwAJ1Gs,False,0
normal,Fiat,50,ZCmA6BKcNxU,"FIAT 2021 ¿me lo compro, o no me lo compro ?",https://www.youtube.com/watch?v=ZCmA6BKcNxU,False,0
normal,Cupra,45,XXBP3FxGefM,"CUPRA # 2021 ¿me lo compro, o no me lo compro?",https://www.youtube.com/watch?v=XXBP3FxGefM,False,0
normal,Cupra,45,pdMZqhjiZcw,¿Me lo compro o no? | Con Sergio Oliveira hablamos de Dodge y Cupra 🚗🔥,https://www.youtube.com/watch?v=pdMZqhjiZcw,False,0
normal,BYD,42,F-A1N41Axag,Spark EV vs BYD Dolphin: la batalla de los eléctricos urbanos que debes conocer,https://www.youtube.com/watch?v=F-A1N41Axag,False,0
normal,Mini,34,3ulgUZJYsaY,"me lo compro o no me lo compro mini,mitsubishi,nissan,omoda.",https://www.youtube.com/watch?v=3ulgUZJYsaY,False,0
normal,Chirey,33,jVU_mY3mdNw,CHIREY,https://www.youtube.com/watch?v=jVU_mY3mdNw,False,0
normal,Seat,33,IUrYfUtUZmA,"Me lo compro o no me lo compro nissan ,seat subaru,suzuki",https://www.youtube.com/watch?v=IUrYfUtUZmA,False,0
normal,MG,31,2tr5BIOGzQg,"""¿Me lo compro o no? 🚗 Mazda, McLaren, Mercedes y MG con Sergio Oliveira y Lalo""",https://www.youtube.com/watch?v=2tr5BIOGzQg,False,0
normal,Omoda,31,3ulgUZJYsaY,"me lo compro o no me lo compro mini,mitsubishi,nissan,omoda.",https://www.youtube.com/watch?v=3ulgUZJYsaY,False,0
normal,JAC,22,ituNwW-NOqs,"JAC #2021 ¿me lo compro, o no me lo compro?",https://www.youtube.com/watch?v=ituNwW-NOqs,False,0
