type,channel,title,url,usage,verification
owned_tixuz_video,Tixuz,"FORD #2021 ¿me lo compro, o no me lo compro?",https://www.youtube.com/watch?v=j9IPzpuHSp8,owned-primary,needs_transcript_or_manual_review
owned_tixuz_video,Tixuz,Las JMC telitoly... o como dicen Jodida Mi Camioneta 😂 ford nacidos chinos,https://www.youtube.com/watch?v=cAQZZKiK8GY,owned-primary,needs_transcript_or_manual_review
owned_tixuz_video,Tixuz,Yougi y Los Ford Cougar,https://www.youtube.com/watch?v=V79lGPB82zc,owned-primary,needs_transcript_or_manual_review
external_reference,Sergio Oliveira,¿Me lo compro o no me lo compro? - Con Lalo Vargas - FIAT y Ford,https://www.youtube.com/watch?v=wFtjSBAacbI,embed_link_and_summarize_only,needs_editorial_review
external_reference,Sergio Oliveira,"Nissan Versa vs Ford Figo. Si es tan bueno el Versa, ¿por qué compré un Figo?",https://www.youtube.com/watch?v=Lm1_TKc7Eow,embed_link_and_summarize_only,needs_editorial_review
external_reference,Jaime Gabaldoni,Jeep Gladiator Mojave vs Ford F-150 Raptor: ¿Son realmente comparables?,https://www.youtube.com/watch?v=-ayU1rQYyxM,embed_link_and_summarize_only,needs_access_or_metadata_review
external_reference,Jaime Gabaldoni,Ford Expedition 2025: ¿La mejor SUV familiar tamaño completo? | Prueba de Manejo | Jaime Gabaldoni,https://www.youtube.com/watch?v=z1RBvS2-nFQ,embed_link_and_summarize_only,needs_editorial_review
external_reference,El Dios de los Autos,¡Ford está FURIOSO! Responde TOYOTA y Suzuki!!,https://www.youtube.com/watch?v=C0G0H_c_o48,embed_link_and_summarize_only,needs_editorial_review
external_reference,El Dios de los Autos,"Chevrolet ¡NUEVA Pick Up de $17,000 TIENE a Toyota y Ford de RODILLAS!",https://www.youtube.com/watch?v=hqsVHkRdSP4,embed_link_and_summarize_only,needs_editorial_review
external_reference,CarsLatino,Prueba de Manejo - Ford Mustang GT 2017,https://www.youtube.com/watch?v=hC557xbz5XE,embed_link_and_summarize_only,needs_editorial_review
external_reference,CarsLatino,6 FORD QUE NO DEBERÍAS COMPRAR... Y 6 QUE SI *CarsLatino*,https://www.youtube.com/watch?v=AgB9XQ_yXso,embed_link_and_summarize_only,needs_editorial_review
external_reference,Autoboutique 1/4 de Milla,"Fanáticos de MG, Ford Ranger Raptor, Mazda CX-3 Mexicana, Carretera con carga inalámbrica | #43",https://www.youtube.com/watch?v=BhwicrKoEO4,embed_link_and_summarize_only,needs_editorial_review
external_reference,Autoboutique 1/4 de Milla,"43. Fanáticos de MG, Ford Ranger Raptor, Mazda CX-3 Mexicana, Carretera con carga inalámbrica",https://www.youtube.com/watch?v=cQZbi2OPviU,embed_link_and_summarize_only,needs_editorial_review
