type,channel,title,url,usage,verification
owned_tixuz_video,Tixuz,me lo compro no me lo compro hyundai,https://www.youtube.com/watch?v=u4Hj3qKhhw0,owned-primary,transcript_available
owned_tixuz_video,Tixuz,"¿ME LO COMPRO O NO? Kia, Land Rover y Lexus",https://www.youtube.com/watch?v=t18L1VU4jxs,owned-primary,transcript_available
owned_tixuz_video,Tixuz,Noticias Motor Abril 2026,https://www.youtube.com/watch?v=FpXwO0V3CxM,owned-primary,transcript_available
owned_tixuz_video,Tixuz,"Hyundai #2021 ¿Me lo compro, o no me lo compro?",https://www.youtube.com/watch?v=1uuA-AocDkA,owned-primary,needs_transcript_or_manual_review
external_reference,Sergio Oliveira,"¿Me lo compro o no me lo compro? GMC, GWM, Honda, Hyundai",https://www.youtube.com/watch?v=gw9Rc4_qs6U,embed_link_and_summarize_only,needs_editorial_review
external_reference,Sergio Oliveira,"Hyundai Grand i10 sedán 2021. Le sobra precio, le falta seguridad.",https://www.youtube.com/watch?v=o4gLVrL2tIA,embed_link_and_summarize_only,needs_editorial_review
external_reference,El Dios de los Autos,HYUNDAI i10 VS. VOLKSWAGEN UP! ¿CUAL ES MEJOR?,https://www.youtube.com/watch?v=1_3A_7ajBFY,embed_link_and_summarize_only,needs_editorial_review
external_reference,El Dios de los Autos,CUIDADO!!! NO CAIGAS!! #toyota #auto #hyundai #mazda #nissan #honda #mitsubishi #mazda #volkswagen,https://www.youtube.com/shorts/i4gvUL_mZ6M,embed_link_and_summarize_only,needs_editorial_review
external_reference,CarsLatino,Se INCENDIAN los Autos Kia y Hyundai ¿Que Esta Pasando? *CarsLatino*,https://www.youtube.com/watch?v=cK6f83vbtJ4,embed_link_and_summarize_only,needs_editorial_review
external_reference,CarsLatino,5 KIA/HYUNDAI QUE NO DEBERÍAS COMPRAR Y 5 QUE SI *CarsLatino*,https://www.youtube.com/watch?v=mdiWpDX7FNk,embed_link_and_summarize_only,needs_editorial_review
external_reference,Autoboutique 1/4 de Milla,hyundai atos a prueba de dinamometro vendido en mexico dodge motor 1.0 litros,https://www.youtube.com/watch?v=dBPQQ84QPoQ,embed_link_and_summarize_only,needs_editorial_review
