type,channel,title,url,usage,verification
owned_tixuz_video,Tixuz,"¿Me lo compro o NO? Mini, Mitsubishi y Nissan con Sergio Oliveira | Tixuz Autos",https://www.youtube.com/watch?v=bneJw3WuvXU,owned-primary,transcript_available
owned_tixuz_video,Tixuz,"me lo compro o no me lo compro mini,mitsubishi,nissan,omoda.",https://www.youtube.com/watch?v=3ulgUZJYsaY,owned-primary,needs_transcript_or_manual_review
owned_tixuz_video,Tixuz,"Me lo compro o no me lo compro nissan ,seat subaru,suzuki",https://www.youtube.com/watch?v=IUrYfUtUZmA,owned-primary,needs_transcript_or_manual_review
owned_tixuz_video,Tixuz,Nissan Sentra desde piso de ventas l Tixuz,https://www.youtube.com/watch?v=k2C37jU9e_s,owned-primary,needs_transcript_or_manual_review
external_reference,Sergio Oliveira,Nissan LEAF 2018 - Y lo puedes comprar por Internet,https://www.youtube.com/watch?v=yiuViWzrRmU,embed_link_and_summarize_only,needs_editorial_review
external_reference,El Dios de los Autos,NISSAN Y MITSUBISHI SON COMPRADOS POR MARCA CHINA - ENORME NOTICIA,https://www.youtube.com/watch?v=qG98Th4nygU,embed_link_and_summarize_only,needs_editorial_review
external_reference,CarsLatino,HONDA vs NISSAN ¿Cual es la Reina de las Suv? *CarsLatino*,https://www.youtube.com/watch?v=c1v4SIL4Q3U,embed_link_and_summarize_only,needs_editorial_review
external_reference,CarsLatino,5 NISSAN QUE NO DEBERÍAS COMPRAR Y 5 QUE SI *CarsLatino*,https://www.youtube.com/watch?v=yIDCcL0gbD4,embed_link_and_summarize_only,needs_editorial_review
external_reference,Autoboutique 1/4 de Milla,boot accu air sema 2016 las vegas nevada nissan gtr lamborghini bmw mercedes benz,https://www.youtube.com/watch?v=4hyw3gHG4YA,embed_link_and_summarize_only,needs_editorial_review
external_reference,Autoboutique 1/4 de Milla,"224. Tank 300 híbrido, Chirey y DHL hacen alianza, Nissan y Honda vs China",https://www.youtube.com/watch?v=5p0P6HyYtW0,embed_link_and_summarize_only,needs_editorial_review
